reference_id,name_or_id,original_smiles,canonical_smiles,parent_smiles,IC50_IKr,IC50_INa,IC50_ICaL,ic50_source,risk_label,risk_label_source,assay_context,reference,record_version
mol_028ceee66b9f1567,,Fc1cc(C(CC2CNC2)Oc2ccccc2F)ccc1Cl,Fc1cc(C(CC2CNC2)Oc2ccccc2F)ccc1Cl,Fc1cc(C(CC2CNC2)Oc2ccccc2F)ccc1Cl,1410.0,,,IKr,,,,,
mol_02934149299df085,,CC(=O)N[C@@H](CCN1[C@@H]2CC[C@H]1C[C@@H](n1c(C)nc3c1CCN(c1ccncn1)C3)C2)c1cccc(F)c1,CC(=O)N[C@@H](CCN1[C@@H]2CC[C@H]1C[C@@H](n1c(C)nc3c1CCN(c1ccncn1)C3)C2)c1cccc(F)c1,CC(=O)N[C@@H](CCN1[C@@H]2CC[C@H]1C[C@@H](n1c(C)nc3c1CCN(c1ccncn1)C3)C2)c1cccc(F)c1,10.0,,,IKr,,,,,
mol_029d53ee8746e1e2,,CCOC(=O)C1=C(C)NC(C)=C(C#N)[C@@H]1c1cnccc1-c1ccccc1,CCOC(=O)C1=C(C)NC(C)=C(C#N)[C@@H]1c1cnccc1-c1ccccc1,CCOC(=O)C1=C(C)NC(C)=C(C#N)[C@@H]1c1cnccc1-c1ccccc1,,,250.0,ICaL,,,,,
mol_02a36e6c41e488c1,,O=S(=O)(Nc1ccncn1)c1cc(Cl)c(NC2(c3ccccc3F)CC2)cc1F,O=S(=O)(Nc1ccncn1)c1cc(Cl)c(NC2(c3ccccc3F)CC2)cc1F,O=S(=O)(Nc1ccncn1)c1cc(Cl)c(NC2(c3ccccc3F)CC2)cc1F,,30000.0,,INa,,,,,
mol_02a4cb20562944fa,,FC(F)(F)Oc1ccc(-c2ccn3ncc(C(F)(F)F)c3n2)cc1,FC(F)(F)Oc1ccc(-c2ccn3ncc(C(F)(F)F)c3n2)cc1,FC(F)(F)Oc1ccc(-c2ccn3ncc(C(F)(F)F)c3n2)cc1,,901.0,,INa,,,,,
mol_02a62e794fdcb9c6,,COC(=O)c1ccc(CSc2ccc3nc(N)sc3c2)cc1,COC(=O)c1ccc(CSc2ccc3nc(N)sc3c2)cc1,COC(=O)c1ccc(CSc2ccc3nc(N)sc3c2)cc1,25000.0,,,IKr,,,,,
mol_02a8b7733c046922,,Cn1c(N2CCC(C)(N)CC2)nc2[nH]nc(-c3cccc(Cl)c3Cl)c2c1=O,Cn1c(N2CCC(C)(N)CC2)nc2[nH]nc(-c3cccc(Cl)c3Cl)c2c1=O,Cn1c(N2CCC(C)(N)CC2)nc2[nH]nc(-c3cccc(Cl)c3Cl)c2c1=O,200.0,,,IKr,,,,,
mol_02a8dd3c9491e916,,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,9670.928,,,IKr,,,,,
mol_02b66c8a22cf6605,,Fc1cc(OCC2CCN(CC2)C2(COC2)c2cc(Cl)cc(Cl)c2)c(cc1C(=O)NS(=O)(=O)C1CC1)C1CC1,O=C(NS(=O)(=O)C1CC1)c1cc(C2CC2)c(OCC2CCN(C3(c4cc(Cl)cc(Cl)c4)COC3)CC2)cc1F,O=C(NS(=O)(=O)C1CC1)c1cc(C2CC2)c(OCC2CCN(C3(c4cc(Cl)cc(Cl)c4)COC3)CC2)cc1F,,5.2,,INa,,,,,
mol_02ba42d90e36af77,,CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(Cc2ccc(C(F)(F)F)cc2)CC1,CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(Cc2ccc(C(F)(F)F)cc2)CC1,CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(Cc2ccc(C(F)(F)F)cc2)CC1,2500.0,,,IKr,,,,,
mol_02c7d24dd6dea3d3,,CS(=O)(=O)O.NC[C@H]1CC[C@]2(CC1)OOC1(O2)C2CC3CC(C2)CC1C3,CS(=O)(=O)O.NC[C@H]1CC[C@]2(CC1)OOC1(O2)C2CC3CC(C2)CC1C3,CS(=O)(=O)O.NC[C@H]1CC[C@]2(CC1)OOC1(O2)C2CC3CC(C2)CC1C3,1800.0,,,IKr,,,,,
mol_02c9c75d1ab2c68d,,CC(C)c1cc(C(=O)NC[C@H]2CCN(CCc3ccc(C(F)(F)F)cc3)C2)on1,CC(C)c1cc(C(=O)NC[C@H]2CCN(CCc3ccc(C(F)(F)F)cc3)C2)on1,CC(C)c1cc(C(=O)NC[C@H]2CCN(CCc3ccc(C(F)(F)F)cc3)C2)on1,410.0,,,IKr,,,,,
mol_02cbde681a07d870,,Cc1ccc(N2CCN(CCN3Cc4ccccc4C3)C2=O)cn1,Cc1ccc(N2CCN(CCN3Cc4ccccc4C3)C2=O)cn1,Cc1ccc(N2CCN(CCN3Cc4ccccc4C3)C2=O)cn1,31622.78,,,IKr,,,,,
mol_02cd08e6ddec3351,,CC(C)CN1CCC(COc2ccc(NC(=O)Nc3cccnc3Oc3ccccc3C(C)(C)C)c(F)c2)CC1,CC(C)CN1CCC(COc2ccc(NC(=O)Nc3cccnc3Oc3ccccc3C(C)(C)C)c(F)c2)CC1,CC(C)CN1CCC(COc2ccc(NC(=O)Nc3cccnc3Oc3ccccc3C(C)(C)C)c(F)c2)CC1,3700.0,,,IKr,,,,,
mol_02d13501ef1f6250,,Nc1ccc(-c2cnc3nc(N4CCC(N5CCCCC5)CC4)sc3c2)cn1,Nc1ccc(-c2cnc3nc(N4CCC(N5CCCCC5)CC4)sc3c2)cn1,Nc1ccc(-c2cnc3nc(N4CCC(N5CCCCC5)CC4)sc3c2)cn1,19411.76,,,IKr,,,,,
mol_02dabb0cdec440f0,,CCN1CCC(CC1)N(C(=O)NCc1ccc(F)cc1)c1ccc(Cl)cc1,CCN1CCC(N(C(=O)NCc2ccc(F)cc2)c2ccc(Cl)cc2)CC1,CCN1CCC(N(C(=O)NCc2ccc(F)cc2)c2ccc(Cl)cc2)CC1,6650.0,,,IKr,,,,,
mol_02db6c10e33d6f5f,,Nc1nc(c[nH]1)-c1cccc(NC(=O)c2ccc[nH]2)c1,Nc1nc(-c2cccc(NC(=O)c3ccc[nH]3)c2)c[nH]1,Nc1nc(-c2cccc(NC(=O)c3ccc[nH]3)c2)c[nH]1,,30000.0,,INa,,,,,
mol_02dd74286903c144,,FC(F)(F)c1ccc(cc1)-n1ccc(CN2CCC(CC(=O)N3CCN(CC3)C(=O)N3CCCC3)CC2)c1,O=C(CC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1)N1CCN(C(=O)N2CCCC2)CC1,O=C(CC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1)N1CCN(C(=O)N2CCCC2)CC1,14000.0,,,IKr,,,,,
mol_02de83d905eff63c,,Clc1cnc(nc1)N1CCC(CC1)[C@H]1C[C@H]1CCOc1ccc(CC(=O)N2CCC2)cc1,O=C(Cc1ccc(OCC[C@@H]2C[C@@H]2C2CCN(c3ncc(Cl)cn3)CC2)cc1)N1CCC1,O=C(Cc1ccc(OCC[C@@H]2C[C@@H]2C2CCN(c3ncc(Cl)cn3)CC2)cc1)N1CCC1,7400.0,,,IKr,,,,,
mol_02dfa985556bd863,,C[C@@H]1CCCN1CCCOc1ccc2[C@H]3CC[C@]4(C)CC[C@@H]([C@H]4[C@@H]3CCc2c1)C(=O)NCC1CC1,C[C@@H]1CCCN1CCCOc1ccc2c(c1)CC[C@H]1[C@@H]3[C@@H](C(=O)NCC4CC4)CC[C@@]3(C)CC[C@H]21,C[C@@H]1CCCN1CCCOc1ccc2c(c1)CC[C@H]1[C@@H]3[C@@H](C(=O)NCC4CC4)CC[C@@]3(C)CC[C@H]21,4100.0,,,IKr,,,,,
mol_02e7644bec821f85,,CS(=O)(=O)NC(=O)c1cc(C2CC2)c(OCC2CCN(CC2)c2cc(c(Cl)cn2)C(F)(F)F)cc1F,CS(=O)(=O)NC(=O)c1cc(C2CC2)c(OCC2CCN(c3cc(C(F)(F)F)c(Cl)cn3)CC2)cc1F,CS(=O)(=O)NC(=O)c1cc(C2CC2)c(OCC2CCN(c3cc(C(F)(F)F)c(Cl)cn3)CC2)cc1F,,3.2,,INa,,,,,
mol_02e9decb9edad634,,COc1cc([C@]23CNC[C@H]2C3)ccc1NS(=O)(=O)c1ccc(C(C)C)cc1,COc1cc([C@]23CNC[C@H]2C3)ccc1NS(=O)(=O)c1ccc(C(C)C)cc1,COc1cc([C@]23CNC[C@H]2C3)ccc1NS(=O)(=O)c1ccc(C(C)C)cc1,1258.93,,,IKr,,,,,
mol_02ea08b631acdb26,,C=CCc1ccccc1OC(C)C1=NCCN1,C=CCc1ccccc1OC(C)C1=NCCN1,C=CCc1ccccc1OC(C)C1=NCCN1,16900.0,,,IKr,,,,,
mol_02f06ae86a5820c4,,COc1ncccc1-c1ccc(/C=C/[C@@H]2[C@@H]3[C@@H](C)OC(=O)[C@]3(CC(N)=O)CC(F)(F)[C@H]2C)nc1,COc1ncccc1-c1ccc(/C=C/[C@@H]2[C@@H]3[C@@H](C)OC(=O)[C@]3(CC(N)=O)CC(F)(F)[C@H]2C)nc1,COc1ncccc1-c1ccc(/C=C/[C@@H]2[C@@H]3[C@@H](C)OC(=O)[C@]3(CC(N)=O)CC(F)(F)[C@H]2C)nc1,25900.0,,,IKr,,,,,
mol_02f0d9d6ae14981c,,CC1=C2C3OC(=O)C(C)C3C(O)CC2(C)C=CC1=O,CC1=C2C3OC(=O)C(C)C3C(O)CC2(C)C=CC1=O,CC1=C2C3OC(=O)C(C)C3C(O)CC2(C)C=CC1=O,109647.82,,,IKr,,,,,
mol_02f1b5c4fdb882d5,,NC(=O)c1cnc(N[C@H]2CCCNC2)c2sc(cc12)-c1cccc(F)c1,NC(=O)c1cnc(N[C@H]2CCCNC2)c2sc(-c3cccc(F)c3)cc12,NC(=O)c1cnc(N[C@H]2CCCNC2)c2sc(-c3cccc(F)c3)cc12,31600.0,,,IKr,,,,,
mol_02f2f18714983b81,,CCOc1ccc2cc(ccc2c1)-c1nn(CC2CCN(CC2)C(C)=O)c2ncnc(N)c12,CCOc1ccc2cc(-c3nn(CC4CCN(C(C)=O)CC4)c4ncnc(N)c34)ccc2c1,CCOc1ccc2cc(-c3nn(CC4CCN(C(C)=O)CC4)c4ncnc(N)c34)ccc2c1,10000.0,,,IKr,,,,,
mol_02f4900360fa5fa6,,Cc1cc(Cl)ccc1OC1CCN(C[C@H](O)CNC(=O)c2c[nH]c(=O)c3cc(S(C)(=O)=O)ccc23)CC1,Cc1cc(Cl)ccc1OC1CCN(C[C@H](O)CNC(=O)c2c[nH]c(=O)c3cc(S(C)(=O)=O)ccc23)CC1,Cc1cc(Cl)ccc1OC1CCN(C[C@H](O)CNC(=O)c2c[nH]c(=O)c3cc(S(C)(=O)=O)ccc23)CC1,1995.26,,,IKr,,,,,
mol_02f6f3bcbff50bf4,,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,,,34.0,ICaL,,,,,
mol_02fc2adcc4cf548f,,CS(=O)(=O)NC(=O)c1cc(C2CC2)c(OCC2CN(C2)[C@@H](c2ccccc2)c2ccccn2)cc1F,CS(=O)(=O)NC(=O)c1cc(C2CC2)c(OCC2CN([C@@H](c3ccccc3)c3ccccn3)C2)cc1F,CS(=O)(=O)NC(=O)c1cc(C2CC2)c(OCC2CN([C@@H](c3ccccc3)c3ccccn3)C2)cc1F,,417.0,,INa,,,,,
mol_02fd466d4ef19137,,CS(=O)(=O)NC(=O)c1cc(Cl)c(O[C@H]2CN(Cc3ccc(F)cc3Cl)CC(F)(F)C2)cc1F,CS(=O)(=O)NC(=O)c1cc(Cl)c(O[C@H]2CN(Cc3ccc(F)cc3Cl)CC(F)(F)C2)cc1F,CS(=O)(=O)NC(=O)c1cc(Cl)c(O[C@H]2CN(Cc3ccc(F)cc3Cl)CC(F)(F)C2)cc1F,,57.0,,INa,,,,,
mol_0306256906734290,,CC(C)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](F)(Br)[C@H]1O)Oc1ccccc1,CC(C)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](F)(Br)[C@H]1O)Oc1ccccc1,CC(C)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](F)(Br)[C@H]1O)Oc1ccccc1,30000.0,,,IKr,,,,,
mol_030c4a9c0250e71a,,COc1ccc2c(c1)NC1(CCN(C(=O)c3ccc(N(C)C)c(Cl)c3)CC1)c1cccn1-2,COc1ccc2c(c1)NC1(CCN(C(=O)c3ccc(N(C)C)c(Cl)c3)CC1)c1cccn1-2,COc1ccc2c(c1)NC1(CCN(C(=O)c3ccc(N(C)C)c(Cl)c3)CC1)c1cccn1-2,,572.0,,INa,,,,,
mol_0312111f6e6d6f32,,N[C@@H](Cc1nc(ccc1F)C#N)c1ccccc1-c1noc2cc(Cl)ccc12,N#Cc1ccc(F)c(C[C@H](N)c2ccccc2-c2noc3cc(Cl)ccc23)n1,N#Cc1ccc(F)c(C[C@H](N)c2ccccc2-c2noc3cc(Cl)ccc23)n1,4100.0,14800.0,,"IKr,INa",,,,,
mol_031235fa46dfbea9,,C=CCN1C[C@H]2C[C@@]2(c2ccc(NS(=O)(=O)c3ccc(C(C)C)cc3)cc2)C1,C=CCN1C[C@H]2C[C@@]2(c2ccc(NS(=O)(=O)c3ccc(C(C)C)cc3)cc2)C1,C=CCN1C[C@H]2C[C@@]2(c2ccc(NS(=O)(=O)c3ccc(C(C)C)cc3)cc2)C1,100.0,,,IKr,,,,,
mol_031754a05dde887b,,CCO\C(O)=C1\C(N(C(=O)OCC)C(=S)N=C1C)c1ccccc1[N+]([O-])=O,CCOC(=O)N1C(=S)N=C(C)/C(=C(/O)OCC)C1c1ccccc1[N+](=O)[O-],CCOC(=O)N1C(=S)N=C(C)/C(=C(/O)OCC)C1c1ccccc1[N+](=O)[O-],,,3.1,ICaL,,,,,
mol_031e95771230b6bb,,CC(C)N1CCC[C@H](Cn2c(C)nc3ccc(Oc4ccc(F)cc4)nc3c2=O)C1,Cc1nc2ccc(Oc3ccc(F)cc3)nc2c(=O)n1C[C@H]1CCCN(C(C)C)C1,Cc1nc2ccc(Oc3ccc(F)cc3)nc2c(=O)n1C[C@H]1CCCN(C(C)C)C1,3236.0,,,IKr,,,,,
