smiles,IC50_nM
C1CCN(C1)[C@H]([C@@H](N1CCCC1)c1ccccc1)c1ccccc1,31622.78
C1CCN(CC1)C1CCN(CC1)c1nc2cnc(cc2s1)-c1cncnc1,6393.442623
C1CCN(CC1)C1CCN(CC1)c1nc2ncc(cc2s1)-c1cncnc1,23333.33333
C1CCN(CC1)[C@@H]([C@H](N1CCCCC1)c1ccccc1)c1ccccc1,25118.86
C1CCN(CC1)[C@H]([C@@H](N1CCCCC1)c1ccccc1)c1ccccc1,31622.78
C1CN(CCC1c1c([nH]c2ccccc12)-c1ccccc1)c1ccccc1,79.43
C1CN(CCO1)c1ncc(cn1)-c1cc2ccncc2n1-c1ccccc1,5500.0
C1CN(CCO1)c1ncc(cn1)-c1nc2ccncc2n1-c1ccccc1,10000.0
C1CN2CCC1C(C2)c1nc(no1)-c1ccc(o1)-c1cccnc1,6400.0
C1CN2CCC1C(C2)c1nnc(o1)-c1ccc(o1)-c1cccnc1,20200.0
C1CNCC(C1)c1c([nH]c2ccccc12)-c1ccccc1,4897.79
C1CO[C@H]([C@@H](CN1)c1ccc2ccccc2c1)c1ccccc1,20000.0
C1Cc2[nH]ncc2-c2nc(Nc3ccccn3)sc2C1,28000.0
C1Cc2[nH]ncc2-c2nc(Nc3ncccn3)sc2C1,30000.0
C1Cc2sc(Nc3ccccn3)nc2-c2cn[nH]c12,17000.0
C1N=C(Nc2cc(ncn2)-c2ccccc2)O[C@]11CN2CCC1CC2,4000.0
C1N=C(Nc2cc(ncn2)-n2ccnc2)O[C@]11CN2CCC1CC2,30000.0
C1N=C(Nc2cc3ccccc3cn2)O[C@]11CN2CCC1CC2,3206.6666666666665
C1NCC(CC=C1)c1cc2ccccc2o1,19000.0
C1NCC(CC=C1)c1ccc2ccccc2c1,15400.0
C1NCC1C(Oc1ccccc1)c1ccc2ccccc2c1,830.0
C1Oc2ccccc2-n2cnc(C#Cc3ccccc3)c12,1000.0
C1[C@@H](C[C@@H]1n1cccn1)Oc1cc(ncn1)N1CCO[C@H](C1)c1ccccc1,30000.0
C1c2cc(cnc2O[C@]11CN2CCC1CC2)-c1ccoc1,1600.0
C=C(C)COc1ccccc1CN1CCC2(CC1)CCN(C(=O)c1ccncc1)CC2,2344.23
C=C(F)COc1ccc(Cl)cc1[C@H]1C[C@@H]1CN.Cl,3980.0
C=C(N(C)Cc1ccc(-c2ccccc2)cc1)N1CCN(C(C)C)CC1,8181.82
C=C(c1ccc(N2CC[C@H](N(C)C)C2)cc1)c1ccc2c(c1)Nc1ccccc1S2,5060.0
C=C(c1ccc(N2C[C@@H]3C[C@H]2CN3C)cc1)c1ccc2c(c1)Nc1ccccc1S2,12000.0
