smiles,IC50_nM
Nc1nc(c[nH]1)-c1ccc(NC(=O)[C@H]2CCCN2)cc1,30000.0
Nc1nc(c[nH]1)-c1ccc(NC(=O)[C@H]2CCCN2)cc1,30000.0
Nc1nc(c[nH]1)-c1cccc(NC(=O)c2c[nH]c3ccccc23)c1,30000.0
Nc1nc(c[nH]1)-c1cccc(NC(=O)c2c[nH]c3ccccc23)c1,30000.0
Nc1nc(c[nH]1)-c1ccc(NC(=O)[C@@H]2CCCN2)cc1,30000.0
Nc1nc(c[nH]1)-c1ccc(NC(=O)[C@@H]2CCCN2)cc1,30000.0
CNc1nc(c[nH]1)-c1cccc(NC(=O)c2cc3ccccc3[nH]2)c1,30000.0
CNc1nc(c[nH]1)-c1cccc(NC(=O)c2cc3ccccc3[nH]2)c1,20000.0
Nc1nc(c[nH]1)-c1ccc(NC(=O)c2cc3ccccc3[nH]2)cc1,30000.0
Nc1nc(c[nH]1)-c1ccc(NC(=O)c2cc3ccccc3[nH]2)cc1,30000.0
FC(F)(F)c1ccc(c(c1)-c1ccncc1)-c1nccc2cc(ccc12)S(=O)(=O)Nc1ncns1,30000.0
FC(F)(F)c1ccc(c(c1)-c1ccncc1)-c1cccc2cc(ccc12)S(=O)(=O)Nc1ncns1,30000.0
Fc1cc(OCC2CCN(Cc3cc(cc(n3)C3CC3)C(F)(F)F)CC2)c(cc1C(=O)NS(=O)(=O)C1CC1)C1CC1,6.0
C[C@@H](N1CCC[C@H](C1)Oc1cc(F)c(cc1C1CC1)C(=O)NS(=O)(=O)C1CC1)c1ccc(F)cc1,6.0
CS(=O)(=O)NC(=O)c1cc(C2CC2)c(OCC2CCN(Cc3ccc(Cl)c(Cl)c3)CC2)cc1F,6.0
CS(=O)(=O)NC(=O)c1cc(C2CC2)c(O[C@@H]2CCCN(Cc3ccccc3Cl)C2)cc1F,6.0
CS(=O)(=O)NC(=O)c1cc(C2CC2)c(OCC2CCN(Cc3cc(F)cc(Cl)c3)CC2)cc1F,6.0
COC[C@@H](N1CCC[C@H](C1)Oc1cc(F)c(cc1C1CC1)C(=O)NS(C)(=O)=O)c1cc(Cl)cc(Cl)c1,6.0
COC[C@@H](N1CCC[C@H](C1)Oc1cc(F)c(cc1C1CC1)C(=O)NS(C)(=O)=O)c1cc(Cl)cc(Cl)c1,11.0
CS(=O)(=O)NC(=O)c1cc(C2CC2)c(OCC2CCN(Cc3ccc(Br)cc3Cl)CC2)cc1F,6.0
CS(=O)(=O)NC(=O)c1cc(C2CC2)c(O[C@@H]2CCCN(Cc3cccc(Cl)c3)C2)cc1F,6.1
CCS(=O)(=O)NC(=O)c1cc(C2CC2)c(OCC2(C)CN(C2)C(c2ccccc2)c2ccccc2)cc1F,6.1
NC(=O)c1cc(C2CC2)c(CN2[C@H]3CC[C@@H]2C[C@@H](C3)Oc2ncc(cc2Cl)C(F)(F)F)cc1F,6.1
NC(=O)c1cc(C2CC2)c(CN2[C@H]3CC[C@@H]2C[C@@H](C3)Oc2ncc(cc2Cl)C(F)(F)F)cc1F,7.0
CS(=O)(=O)NC(=O)c1cc(C2CC2)c(OCC2CCN(Cc3ccc(cc3Cl)C3CC3)CC2)cc1F,6.1
CS(=O)(=O)NC(=O)c1cc(C2CC2)c(O[C@H]2CN(Cc3ccc(F)cc3Cl)CC(F)(F)C2)cc1F,6.1
CS(=O)(=O)NC(=O)c1cc(C2CC2)c(OCC2CN(C2)[C@H](c2ccccc2)c2ccc(F)cc2)cc1F,6.2
CCS(=O)(=O)NC(=O)c1cc(C2CC2)c(OCC2CCN(CC2)[C@@H](COC)c2cc(Cl)cc(Cl)c2)cc1F,6.2
CS(=O)(=O)NC(=O)c1cc(C2CC2)c(O[C@@H]2CCCN(Cc3ccc(c(Cl)c3)C(F)(F)F)C2)cc1F,6.2
Fc1cc(OCC2(F)CCN(Cc3cc(cc(Cl)c3F)C(F)(F)F)CC2)c(cc1C(=O)NS(=O)(=O)C1CC1)C1CC1,6.3
CCS(=O)(=O)NC(=O)c1cc(C2CC2)c(OCC2CCN(CC2)[C@H](COC)c2cc(Cl)cc(Cl)c2)cc1F,6.3
CC1(COc2cc(F)c(cc2C2CC2)C(=O)NS(C)(=O)=O)CN(C1)C(c1ccccc1)c1ccccc1,6.4
CS(=O)(=O)NC(=O)c1cc(C2CC2)c(O[C@@H]2CCCN(CC3(CCC3)C(F)(F)F)C2)cc1F,6.4
CC1(COc2cc(F)c(cc2C2CC2)C(=O)NS(C)(=O)=O)CN(Cc2cc(Cl)cc(Cl)c2)C1,6.4
CCS(=O)(=O)NC(=O)c1cc(C2CC2)c(OCCC2CCN(Cc3cc(Cl)cc(Cl)c3)CC2)cc1F,6.5
CC1(COc2cc(F)c(cc2C2CC2)C(N)=O)CN(C1)c1cc(c(Cl)cn1)C(F)(F)F,6.5
CS(=O)(=O)NC(=O)c1cc(C2CC2)c(OCC2CN(C2)[C@@H](c2ccccc2)c2cc(Cl)cc(Cl)c2)cc1F,6.6
Fc1cc(OCC2CCN(Cc3cc(Cl)cc(OC(F)(F)F)c3)CC2)c(Cl)cc1C(=O)NS(=O)(=O)C1CC1,6.7
CCS(=O)(=O)NC(=O)c1cc(C2CC2)c(OCC2CCN(Cc3cc(cc(n3)C3CC3)C(F)(F)F)CC2)cc1F,6.7
Fc1ccc(N2CCC[C@H](C2)Oc2cc(F)c(cc2C2CC2)C(=O)NS(=O)(=O)C2CC2)c(Cl)c1,6.8
O=S(=O)(Nc1ncns1)c1ccc2c(cccc2c1)N1CCOC(C1)c1ccccc1,30000.0
FC(F)(F)c1ccc(c(Cl)c1)-c1nccc2cc(ccc12)S(=O)(=O)Nc1nccs1,30000.0
Cn1nccc1-c1cc(ccc1-c1nccc2cc(ccc12)S(=O)(=O)Nc1ncns1)C(F)(F)F,30000.0
FC(F)(F)c1ccc(c(c1)-c1cn[nH]c1)-c1nccc2cc(ccc12)S(=O)(=O)Nc1ncns1,30000.0
FC(F)(F)c1ccc(c(c1)[N+]#[C-])-c1cccc2cc(ccc12)S(=O)(=O)Nc1ncns1,30000.0
Clc1ccc(c(c1)-c1cn[nH]c1)-c1cccc2cc(ccc12)S(=O)(=O)Nc1ncns1,30000.0
Clc1ccc(c(c1)-c1ccncc1)-c1cccc2cc(ccc12)S(=O)(=O)Nc1ncns1,30000.0
FC(F)(F)c1ccc(c(Cl)c1)-c1cccc2cc(ccc12)S(=O)(=O)Nc1ncns1,30000.0
FC(F)(F)c1ccc(c(Br)c1)-c1cccc2cc(ccc12)S(=O)(=O)Nc1ncns1,30000.0
FC(F)(F)c1ccc(c(Br)c1)-c1nccc2cc(ccc12)S(=O)(=O)Nc1ncns1,30000.0
Cn1nccc1-c1cc(Cl)ccc1-c1cccc2cc(ccc12)S(=O)(=O)Nc1ncns1,30000.0
Clc1ccc(c(c1)C1=CCNCC1)-c1cccc2cc(ccc12)S(=O)(=O)Nc1ncns1 |t:8|,30000.0
Nc1cc(Cl)ccc1-c1cccc2cc(ccc12)S(=O)(=O)Nc1ncns1,30000.0
NC(=O)c1cc(ccc1-c1cccc2cc(ccc12)S(=O)(=O)Nc1ncns1)C(F)(F)F,30000.0
Clc1ccc(c(Cl)c1)-c1cccc2cc(ccc12)S(=O)(=O)Nc1ncns1,30000.0
"COc1cc(c(Cl)cc1-n1c2ccc(cc2ccc1=O)S(=O)(=O)Nc1cccnn1)-c1cccc(F)c1 |(-1.33,-5.39,;,-4.62,;1.33,-5.39,;1.33,-6.93,;2.67,-7.7,;4,-6.93,;5.33,-7.7,;4,-5.39,;2.67,-4.62,;2.67,-3.08,;1.33,-2.31,;,-3.08,;-1.33,-2.31,;-1.33,-.77,;;1.33,-.77,;2.67,,;4,-.77,;4,-2.31,;5.33,-3.08,;-2.67,,;-3.44,-1.33,;-1.9,1.33,;-4,.77,;-4,2.31,;-5.33,3.08,;-5.33,4.62,;-4,5.39,;-2.67,4.62,;-2.67,3.08,;2.67,-9.24,;1.33,-10.01,;1.33,-11.55,;2.67,-12.32,;4,-11.55,;5.33,-12.32,;4,-10.01,)|",30000.0
"COc1cc(c(Cl)cc1-n1c2ccc(cc2ccc1=O)S(=O)(=O)Nc1ccncn1)-c1cccc(F)c1 |(-1.33,-5.39,;,-4.62,;1.33,-5.39,;1.33,-6.93,;2.67,-7.7,;4,-6.93,;5.33,-7.7,;4,-5.39,;2.67,-4.62,;2.67,-3.08,;1.33,-2.31,;,-3.08,;-1.33,-2.31,;-1.33,-.77,;;1.33,-.77,;2.67,,;4,-.77,;4,-2.31,;5.33,-3.08,;-2.67,,;-3.44,-1.33,;-1.9,1.33,;-4,.77,;-4,2.31,;-2.67,3.08,;-2.67,4.62,;-4,5.39,;-5.33,4.62,;-5.33,3.08,;2.67,-9.24,;1.33,-10.01,;1.33,-11.55,;2.67,-12.32,;4,-11.55,;5.33,-12.32,;4,-10.01,)|",30000.0
"COc1cc(c(F)cc1-n1c2ccc(cc2ccc1=O)S(=O)(=O)Nc1ccon1)-c1ccc(Cl)c(C)c1 |(-1.33,-5.39,;,-4.62,;1.33,-5.39,;1.33,-6.93,;2.67,-7.7,;4,-6.93,;5.33,-7.7,;4,-5.39,;2.67,-4.62,;2.67,-3.08,;1.33,-2.31,;,-3.08,;-1.33,-2.31,;-1.33,-.77,;;1.33,-.77,;2.67,,;4,-.77,;4,-2.31,;5.33,-3.08,;-2.67,,;-3.44,-1.33,;-1.9,1.33,;-4,.77,;-4,2.31,;-5.25,3.22,;-4.77,4.68,;-3.23,4.68,;-2.76,3.22,;2.67,-9.24,;1.33,-10.01,;1.33,-11.55,;2.67,-12.32,;2.67,-13.86,;4,-11.55,;5.33,-12.32,;4,-10.01,)|",30000.0
Nc1nc2CCC(CNC(=O)[C@@H]3CCCN3)Cc2s1,30000.0
Nc1nc2CC[C@@H](Cc2s1)NC(=O)[C@@H]1CCCN1,30000.0
Fc1ccc(c(OCC#N)c1)-c1nccc2cc(ccc12)S(=O)(=O)Nc1nccs1,30000.0
COc1cc(ccc1-c1nccc2cc(ccc12)S(=O)(=O)Nc1ncns1)C(F)(F)F,30000.0
COc1cc(ccc1-c1nccc2cc(ccc12)S(=O)(=O)Nc1ccncn1)-c1cccc(F)c1,30000.0
COc1cc(C)ccc1-c1nccc2cc(ccc12)S(=O)(=O)Nc1nccs1,30000.0
COc1cc(Cl)c(Cl)cc1-c1nccc2cc(ccc12)S(=O)(=O)Nc1nccs1,30000.0
COc1ccccc1-c1ncnc2cc(ccc12)S(=O)(=O)Nc1nccs1,30000.0
COc1ccccc1-c1cncc2cc(ccc12)S(=O)(=O)Nc1nccs1,30000.0
COc1cc(ccc1-c1n[nH]c(=O)c2cc(ccc12)S(=O)(=O)Nc1nccs1)C(F)(F)F,30000.0
COc1cc(ccc1-c1cnnc2cc(ccc12)S(=O)(=O)Nc1nccs1)C(F)(F)F,30000.0
COc1cc(ccc1-c1ncnc2cc(ccc12)S(=O)(=O)Nc1nccs1)C(F)(F)F,30000.0
COc1cc(F)ccc1-c1ncnc2cc(ccc12)S(=O)(=O)Nc1nccs1,30000.0
