smiles,IC50_nM
NCCCc1nc2cc(cc(c2[nH]1)C(F)(F)F)C(F)(F)F,10000.0
NCCCc1nc2cc(cc(c2[nH]1)C(F)(F)F)C(F)(F)F,10000.0
Cc1c(c(nn1C1CC2(C1)CN(C2)C(=O)C=C)-c1ccc2n(C)ncc2c1)-c1c(Cl)c(C)cc2[nH]ncc12,10000.0
NCCc1nc2cc(cc(c2[nH]1)C(F)(F)F)C(F)(F)F,10000.0
NCCc1nc2cc(cc(c2[nH]1)C(F)(F)F)C(F)(F)F,10000.0
FC(F)(F)COc1ccc(cc1)-c1ccc2nc(Cc3cncnc3)[nH]c2c1,10000.0
FC(F)(F)COc1ccc(cc1)-c1ccc2nc(Cc3cncnc3)[nH]c2c1,10000.0
Fc1ccc(cc1Cl)-c1ccc2nc(Cc3cncnc3)[nH]c2c1,10000.0
Fc1ccc(cc1Cl)-c1ccc2nc(Cc3cncnc3)[nH]c2c1,10000.0
CC(=O)NCc1nc2cc(cc(c2[nH]1)C(F)(F)F)C(F)(F)F,10000.0
CC(=O)NCc1nc2cc(cc(c2[nH]1)C(F)(F)F)C(F)(F)F,10000.0
CNCC(=O)N(C)Cc1nc2cc(cc(c2[nH]1)C(F)(F)F)C(F)(F)F,10000.0
CNCC(=O)N(C)Cc1nc2cc(cc(c2[nH]1)C(F)(F)F)C(F)(F)F,10000.0
CN(Cc1nc2cc(cc(c2[nH]1)C(F)(F)F)C(F)(F)F)C(=O)CN,10000.0
CN(Cc1nc2cc(cc(c2[nH]1)C(F)(F)F)C(F)(F)F)C(=O)CN,10000.0
CNCc1nc2cc(cc(c2[nH]1)C(F)(F)F)C(F)(F)F,10000.0
CNCc1nc2cc(cc(c2[nH]1)C(F)(F)F)C(F)(F)F,10000.0
NCC(=O)NCc1nc2cc(c(cc2[nH]1)C(F)(F)F)C(F)(F)F,10000.0
NCC(=O)NCc1nc2cc(c(cc2[nH]1)C(F)(F)F)C(F)(F)F,10000.0
NCc1nc2cc(c(cc2[nH]1)C(F)(F)F)C(F)(F)F,10000.0
NCc1nc2cc(c(cc2[nH]1)C(F)(F)F)C(F)(F)F,10000.0
CC(C)(CN)C(=O)NCc1nc2cc(cc(c2[nH]1)C(F)(F)F)C(F)(F)F,10000.0
CC(C)(CN)C(=O)NCc1nc2cc(cc(c2[nH]1)C(F)(F)F)C(F)(F)F,10000.0
CC(C)(N)C(=O)NCc1nc2cc(cc(c2[nH]1)C(F)(F)F)C(F)(F)F,10000.0
CC(C)(N)C(=O)NCc1nc2cc(cc(c2[nH]1)C(F)(F)F)C(F)(F)F,10000.0
COC[C@@H](N)C(=O)NCC(=O)N(C)Cc1nc2c(cc(cc2[nH]1)C(F)(F)F)C(F)(F)F,10000.0
COC[C@@H](N)C(=O)NCC(=O)N(C)Cc1nc2c(cc(cc2[nH]1)C(F)(F)F)C(F)(F)F,10000.0
CN(Cc1nc2cc(cc(c2[nH]1)C(F)(F)F)C(F)(F)F)S(C)(=O)=O,10000.0
CN(Cc1nc2cc(cc(c2[nH]1)C(F)(F)F)C(F)(F)F)S(C)(=O)=O,10000.0
CN(Cc1nc2cc(cc(c2[nH]1)C(F)(F)F)C(F)(F)F)S(N)(=O)=O,10000.0
CN(Cc1nc2cc(cc(c2[nH]1)C(F)(F)F)C(F)(F)F)S(N)(=O)=O,10000.0
FC(F)(F)c1cc(c2nc([nH]c2c1)[C@H]1CCCN1)C(F)(F)F,10000.0
FC(F)(F)c1cc(c2nc([nH]c2c1)[C@H]1CCCN1)C(F)(F)F,10000.0
FC(F)(F)c1cc(c2nc([nH]c2c1)[C@@H]1CCCN1)C(F)(F)F,10000.0
FC(F)(F)c1cc(c2nc([nH]c2c1)[C@@H]1CCCN1)C(F)(F)F,10000.0
CN(Cc1nc2cc(cc(c2[nH]1)C(F)(F)F)C(F)(F)F)C(N)=O,10000.0
CN(Cc1nc2cc(cc(c2[nH]1)C(F)(F)F)C(F)(F)F)C(N)=O,10000.0
CN(C)Cc1nc2cc(cc(c2[nH]1)C(F)(F)F)C(F)(F)F,10000.0
CN(C)Cc1nc2cc(cc(c2[nH]1)C(F)(F)F)C(F)(F)F,10000.0
CS(=O)(=O)Cc1nc2c(cc(cc2[nH]1)C(F)(F)F)C(F)(F)F,10000.0
CS(=O)(=O)Cc1nc2c(cc(cc2[nH]1)C(F)(F)F)C(F)(F)F,10000.0
COCCc1nc2c(cc(cc2[nH]1)C(F)(F)F)C(F)(F)F,10000.0
COCCc1nc2c(cc(cc2[nH]1)C(F)(F)F)C(F)(F)F,10000.0
COCc1nc2c(cc(cc2[nH]1)C(F)(F)F)C(F)(F)F,10000.0
COCc1nc2c(cc(cc2[nH]1)C(F)(F)F)C(F)(F)F,10000.0
CC(C)(C)C(=O)NCc1nc2cc(cc(c2[nH]1)C(F)(F)F)C(F)(F)F,10000.0
CC(C)(C)C(=O)NCc1nc2cc(cc(c2[nH]1)C(F)(F)F)C(F)(F)F,10000.0
FC(F)(F)c1cc(c2[nH]c(Cc3cncnc3)nc2c1)C(F)(F)F,10000.0
FC(F)(F)c1cc(c2[nH]c(Cc3cncnc3)nc2c1)C(F)(F)F,10000.0
Clc1cc(Cl)c2nc(CN3CCNCC3=O)[nH]c2c1,10000.0
Clc1cc(Cl)c2nc(CN3CCNCC3=O)[nH]c2c1,10000.0
CC1(C)NCCN(Cc2nc3c(cc(cc3[nH]2)C(F)(F)F)C(F)(F)F)C1=O,10000.0
CC1(C)NCCN(Cc2nc3c(cc(cc3[nH]2)C(F)(F)F)C(F)(F)F)C1=O,10000.0
FC(F)(F)c1cc(c2[nH]c(CN3CCNCC3=O)nc2c1)C(F)(F)F,10000.0
FC(F)(F)c1cc(c2[nH]c(CN3CCNCC3=O)nc2c1)C(F)(F)F,10000.0
FC(F)(F)c1ccc2[nH]c(CN3CCNCC3=O)nc2c1,10000.0
FC(F)(F)c1ccc2[nH]c(CN3CCNCC3=O)nc2c1,10000.0
Clc1cc2nc(CN3CCNCC3=O)[nH]c2cc1Cl,10000.0
Clc1cc2nc(CN3CCNCC3=O)[nH]c2cc1Cl,10000.0
FC(F)(F)c1cc(c2[nH]c(Cc3ccncc3)nc2c1)C(F)(F)F,10000.0
FC(F)(F)c1cc(c2[nH]c(Cc3ccncc3)nc2c1)C(F)(F)F,10000.0
FC(F)(F)c1cc(c2[nH]c(Cc3cccnc3)nc2c1)C(F)(F)F,10000.0
FC(F)(F)c1cc(c2[nH]c(Cc3cccnc3)nc2c1)C(F)(F)F,10000.0
CC(C)(O)Cn1c(CC2CCNCC2)nc2cc(Cl)c(Cl)cc12,10000.0
CC(C)(O)Cn1c(CC2CCNCC2)nc2cc(Cl)c(Cl)cc12,10000.0
