smiles,IC50_nM
CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,92594.66
CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,109244.66
CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,158489.16
CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,590744.66
FC(F)(F)COc1ccc(OCC(F)(F)F)c(c1)C(=O)NCC1CCCCN1,27100.0
Cn1nccc1-c1ccc2OC3(CCN(CC3)C(=O)N[C@H]3C[C@@H]3c3ccccc3)CC(=O)c2c1,28000.0
CO[C@H]1C[C@@H](C1)Oc1cc(F)c(F)c(n1)-c1ccc2O[C@@H](CCC(O)=O)CCc2c1,28000.0
OC(=O)c1ccc(cc1)-c1noc(n1)C1CCN(CC1)C(=O)NC1CC1c1ccccc1,30000.0
C[C@@H](NC(=O)Cc1ccc(cc1)C1CC1)c1ccc(OCC(F)(F)F)cn1,30000.0
Cc1noc(n1)C1CCN(CC1)C(=O)NC1CC1c1ccccc1,30000.0
O[C@@H]([C@H]1CC[C@@H](Cc2ccc(NC(=O)[C@@H]3CCc4ccnn34)cc2)N1)c1cccnc1,30000.0
Fc1cncc(c1)-c1nc2cc(F)c(F)cc2n1C1CC1,30000.0
O[C@@H]([C@H]1CC[C@@H](Cc2ccc(NC(=O)[C@@H]3CCc4scnc34)cc2)N1)c1cccnc1,30000.0
O[C@@H]([C@H]1CC[C@@H](Cc2ccc(NC(=O)Cn3cccnc3=O)cc2)N1)c1ccccc1,30000.0
O[C@@H]([C@H]1CC[C@@H](Cc2ccc(NC(=O)Cn3ccccc3=O)cc2)N1)c1ccccc1,30000.0
O[C@@H]([C@H]1CC[C@@H](Cc2ccc(NC(=O)Cn3ncccc3=O)cc2)N1)c1ccccc1,30000.0
O[C@@H]([C@H]1CC[C@@H](Cc2ccc(NC(=O)Cn3cnccc3=O)cc2)N1)c1ccccc1,30000.0
Cc1cn(cn1)-c1ccc(cc1F)-c1cn(CC(=O)Nc2cccc(Cl)c2Cl)nn1,30000.0
COc1ccc(CCN2[C@@H](CN(NS(C)(=O)=O)C2=O)c2ccc(OC)cc2)cc1,30000.0
O[C@@H]([C@H]1CC[C@@H](Cc2ccc(NC(=O)[C@@H]3CCc4cccc(=O)n34)cc2)N1)c1ccccc1,30000.0
C[C@@H](C(=O)Nc1ccc(C[C@@H]2CC[C@@H](N2)[C@H](O)c2ccccc2)cc1)n1ncccc1=O,30000.0
O=C(N[C@@H]1C[C@H]1c1ccccc1)N1CCC(CC1)c1nc(no1)-c1ccccn1,30000.0
O=C(N[C@@H]1C[C@H]1c1ccccc1)N1CCC(CC1)c1nc(no1)-c1ccccn1,30000.0
O=C(N[C@@H]1C[C@H]1c1ccccc1)N1CCC(CC1)c1nc(no1)-c1ccccn1,30000.0
C[C@@H](C(=O)Nc1ccc(C[C@@H]2CC[C@@H](N2)[C@H](O)c2cccnc2)cc1)n1ncccc1=O,30000.0
C1C(C2=NCCN2)C1(c1ccccc1)c1ccccc1,30000.0
CCNC1=N[C@H]2[C@H](O[C@H](CO)[C@@H](O)[C@@H]2O)S1,30000.0
O=C(NC1CC1c1ccccc1)N1CCC(CC1)c1nc(no1)-c1cnccn1,30000.0
O=C(NC1CCc2ccccc2CC1)N1CCC(CC1)c1nc(no1)-c1ccccn1,30000.0
CS(=O)(=O)c1ccc2OC3(CCc2c1)CCCN(CC3)C(=O)N[C@H]1C[C@@H]1c1ccccc1,30000.0
O=C(NC1CC1c1ccccc1)N1CCC(CC1)c1nc(no1)-c1ccncc1,30000.0
O=C(NC1CC1c1ccccc1)N1CCC(CC1)c1nc(no1)-c1ncccn1,30000.0
Cc1nnc2CCc3cc(ccc3-n12)-c1cncc(c1)[C@@](C)(O)C(F)(F)F,30000.0
O=C(N[C@H]1C[C@@H]1c1ccccc1)N1CCC2(CC1)CC(=O)c1ncccc1O2,30000.0
CCn1cc(cn1)[C@]1(N[C@H](Cc2c1[nH]c1ccccc21)c1nc(c[nH]1)-c1ccc(F)cn1)c1nn(C)c(=O)o1,30000.0
O=C(NC1CCc2ccccc2C1)N1CCC(CC1)c1nc(no1)-c1ccccn1,30000.0
Cn1cnnc1C1CCN(CC1)C(=O)NC1CC1c1ccccc1,30000.0
O=C(NC1CC1c1ccccc1)N1CCC(CC1)n1ccnn1,30000.0
O=C(NC1CC1c1ccccc1)N1CCC(CC1)n1cccn1,30000.0
Cc1c(ccc(F)c1C#N)[C@@H]1CN2CCN(C[C@H]2CO1)C(=O)Cc1ccc(cn1)-n1cnnn1,30000.0
CN1CCN(CC1)c1ccc(cc1C(F)(F)F)-c1ccc2CNCCc2c1,30000.0
O=C(NC1CC1c1ccccc1)N1CCC(CC1)n1cncn1,30000.0
Cc1nccn1-c1ccc(cn1)-c1cn(CC(=O)Nc2cccc(Cl)c2Cl)nn1,30000.0
COCCCn1cc(CN(C2CC2)C(=O)[C@H]2CNCC[C@@H]2c2ccn(C)c(=O)c2)c2ccccc12,30000.0
Cc1c(o[nH]c1=O)C1CCN(CC1)C(=O)NC1CC1c1ccccc1,30000.0
O=C(NC1CC1c1ccccc1)N1CCC(CC1)c1ncon1,30000.0
OC(=O)CCCOc1ccc(cc1)-c1cc(OC(F)(F)F)ccc1Cl,30000.0
CC#CC(CC(O)=O)c1ccc(Oc2ccc(cc2OC(F)F)C(F)(F)F)cc1,30000.0
CS(=O)(=O)c1ccc(cc1)-c1noc(n1)C1CCN(CC1)C(=O)NC1CC1c1ccccc1,30000.0
O=C(NC1CC1c1ccccc1)N1CCC(CC1)c1nnco1,30000.0
C[C@@H]1CN(CCN1c1ncc(OCc2ccc(CS(C)(=O)=O)cc2F)cn1)c1nc(no1)C(F)(F)F,30000.0
CN1c2ccc(Cl)cc2C(=NCC1=O)c1ccccc1,30500.0
CC(C)(C)NC(=O)NCCN1CCC(CO)(CNC(=O)c2cc(Cl)cc(Cl)c2)CC1,31600.0
CCN(CC)CCNC(=O)c1c(C)[nH]c(\C=C2/C(=O)Nc3ccc(F)cc23)c1C,56416.41
CCN(CC)CCNC(=O)c1c(C)[nH]c(\C=C2/C(=O)Nc3ccc(F)cc23)c1C,79432.91
CCN(CC)CCNC(=O)c1c(C)[nH]c(\C=C2/C(=O)Nc3ccc(F)cc23)c1C,139479.41
Cc1nc2CCCCn2c(=O)c1CCN1CCC(CC1)c1noc2cc(F)ccc12,79600.0
Cc1nc2CCCCn2c(=O)c1CCN1CCC(CC1)c1noc2cc(F)ccc12,125000.0
COc1cc2CC(CC3CCN(Cc4ccccc4)CC3)C(=O)c2cc1OC,34300.0
COc1ccc(cc1)[C@@H]1Sc2ccccc2N(CCN(C)C)C(=O)[C@@H]1OC(C)=O,44000.0
COc1ccc(cc1)[C@@H]1Sc2ccccc2N(CCN(C)C)C(=O)[C@@H]1OC(C)=O,22225.0
COc1ccc(cc1)[C@@H]1Sc2ccccc2N(CCN(C)C)C(=O)[C@@H]1OC(C)=O,22380.0
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O,50000.0
COC[C@@H](NC(C)=O)C(=O)NCc1ccccc1,50118.86
CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1,62500.0
Cc1nc(Nc2ncc(s2)C(=O)Nc2c(C)cccc2Cl)cc(n1)N1CCN(CCO)CC1,81100.0
Cc1nc(Nc2ncc(s2)C(=O)Nc2c(C)cccc2Cl)cc(n1)N1CCN(CCO)CC1,251189.0
Cc1nc(Nc2ncc(s2)C(=O)Nc2c(C)cccc2Cl)cc(n1)N1CCN(CCO)CC1,398107.0
COc1ccc2ncc(=O)n(CCN3CCC(CC3)NCc3ccc4OCC(=O)Nc4n3)c2c1,92000.0
CCCc1nn(C)c2c1nc([nH]c2=O)-c1cc(ccc1OCC)S(=O)(=O)N1CCN(C)CC1,100000.0
CC(N)COc1c(C)cccc1C,100000.0
CC(=O)NC[C@H]1CN(C(=O)O1)c1ccc(N2CCOCC2)c(F)c1,105400.0
N[C@@H](CC(=O)N1CCn2c(C1)nnc2C(F)(F)F)Cc1cc(F)c(F)cc1F,147100.0
N[C@@H](CC(=O)N1CCn2c(C1)nnc2C(F)(F)F)Cc1cc(F)c(F)cc1F,100000000.0
CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,608150.0
CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,1023000.0
Cc1nc2C(O)CCCn2c(=O)c1CCN1CCC(CC1)c1noc2cc(F)ccc12,296003.585
Cc1nc2C(O)CCCn2c(=O)c1CCN1CCC(CC1)c1noc2cc(F)ccc12,398107.085
Cc1nc2C(O)CCCn2c(=O)c1CCN1CCC(CC1)c1noc2cc(F)ccc12,699053.585
COc1cc2nc(nc(N)c2cc1OC)N(C)CCCNC(=O)C1CCCO1,199526.115
Cc1cn(cn1)-c1cc(NC(=O)c2ccc(C)c(Nc3nccc(n3)-c3cccnc3)c2)cc(c1)C(F)(F)F,199526.115
Cc1cn(cn1)-c1cc(NC(=O)c2ccc(C)c(Nc3nccc(n3)-c3cccnc3)c2)cc(c1)C(F)(F)F,1680902.115
Cc1cn(cn1)-c1cc(NC(=O)c2ccc(C)c(Nc3nccc(n3)-c3cccnc3)c2)cc(c1)C(F)(F)F,102113.115
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,299000.0
N[C@@H](Cn1c2cc(F)ccc2ncc1=O)[C@H]1CC[C@@H](CC1)NCc1ncc2OCC(=O)Nc2n1,333000.0
COc1cnc2ccc(=O)n(C[C@H](N)[C@H]3CC[C@@H](CC3)NCc3ccc4OCC(=O)Nc4n3)c2c1,333000.0
CN1CC(=O)N2[C@H](Cc3c([nH]c4ccccc34)[C@H]2c2ccc3OCOc3c2)C1=O,398107.085
C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,414200.0
C[C@H](Cc1cc2CCN(CCCO)c2c(c1)C(N)=O)NCCOc1ccccc1OCC(F)(F)F,794328.115
CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,1036700.0
CCN1CCN(C(=O)N[C@@H](C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C(O)=O)c2ccccc2)C(=O)C1=O,1226000.0
Nc1nnc(c(N)n1)-c1cccc(Cl)c1Cl,1421909.095
Nc1nnc(c(N)n1)-c1cccc(Cl)c1Cl,1584893.095
NC(=O)C([C@@H]1CCN(CCc2ccc3OCCc3c2)C1)(c1ccccc1)c1ccccc1,1584893.095
CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@@H]12)S(=O)(=O)c1ccc(N)cc1,1584893.095
FC(F)(F)C(Cl)Br,1800000.0
FC(F)(F)C(Cl)Br,8150000.0
CS(=O)(=O)CCNCc1ccc(o1)-c1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1,1995262.155
CS(=O)(=O)CCNCc1ccc(o1)-c1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1,8922097.155
COC([C@H](Oc1nc(C)cc(C)n1)C(O)=O)(c1ccccc1)c1ccccc1,2511886.215
CCO\C(O)=C1\C(N(C(=O)OCC)C(=S)N=C1C)c1ccccc1C(F)(F)F,26.0
CCOC(=O)C1=C(C)NC(OCC)=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OCC,26.0
CCCN1C(C(C(=O)OCC)=C(C)N=C1S)c1cccc(c1)[N+]([O-])=O,50.0
CC(C)OC(=O)C1=C(C)NC(C)=C(C1c1cccc2nonc12)C(=O)OCCCCCCCCCC[N+](C)(C)C,70.0
CCO\C(O)=C1\C(N(C(=O)OCC)C(=S)N=C1C)c1cccc(Cl)c1,88.0
CCOC(=O)C1=C(C)NC(C)=C(C#N)[C@@H]1c1cnccc1-c1ccc2ccccc2c1,100.0
CCOC(=O)N1C(\C(=C(/O)OC)C(C)=NC1=S)c1cccc(c1)[N+]([O-])=O,100.0
CCOC(=O)C1C(N=C(SC)N=C1C)c1cccc(c1)[N+]([O-])=O,130.0
CCOC(=O)N1C(C(C(=O)OCC)=C(C)NC1=O)c1cccc(c1)[N+]([O-])=O,140.0
CN(CCCc1nc2ccccc2[nH]1)CC[C@]1(C[C@@H]2CC[C@H]1c1ccccc21)OC(=O)C1CC1,140.0
CC(C)[C@H]1c2ccc(F)cc2[C@@H](C[C@@]1(CCN(C)CCCc1nc2ccccc2[nH]1)OC(=O)C(C)C)OCc1ccccc1,156.0
COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C,54078.0
COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C,54101.0
COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C,54125.0
COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C,54255.0
CCOC(=O)N1C(C(C(=O)OCC)=C(C)N=C1N)c1cccc(c1)[N+]([O-])=O,160.0
Fc1ccc(cc1)C(CCCN1CCC(CC1)n1c2ccccc2[nH]c1=O)c1ccc(F)cc1,162.0
Fc1ccc(cc1)C(CCCN1CCC(CC1)n1c2ccccc2[nH]c1=O)c1ccc(F)cc1,240.0
CCCC[C@@H]1C[C@@](CCN(C)CCCc2nc3ccccc3[nH]2)(OC(=O)COC)[C@@H](C(C)C)c2ccc(F)cc12,173.0
CC(C)[C@H]1c2ccc(F)cc2[C@H](C[C@@]1(CCN(C)CCCc1nc2ccccc2[nH]1)OC(=O)C(C)C)OCc1ccccc1,225.0
CCOC(=O)C1=C(C)NC(C)=C(C#N)[C@@H]1c1cnccc1-c1ccccc1,250.0
COc1ccc(CCN(C)C2CCCC(C2)C(C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC,325.0
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,270.0
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,1900.0
CCOC(=O)C1=C(C)NC(C)=C(C#N)[C@@H]1c1cnccc1-c1cccc2ccccc12,270.0
CCO\C(O)=C1\C(N(C(=O)N(C)C)C(=S)N=C1C)c1cccc(c1)[N+]([O-])=O,270.0
CCO\C(O)=C1\C(N(C(=O)OCC)C(=S)N=C1C)c1cccc(c1)C(F)(F)F,280.0
Fc1ccc(cc1)C(CCCN1CCC(CC1)NC(=O)OCCc1ccc(cc1)C#N)c1ccc(F)cc1,284.0
CC(C)[C@H]1c2ccc(F)cc2CC[C@@]1(CCN(C)CCCc1nc2ccccc2[nH]1)OC(=O)C(C)C,347.0
COc1cccc2nc(CCCN(C)CC[C@@]3(C[C@H]4CCC[C@@H]3c3ccccc43)OC(=O)C(C)C)[nH]c12,387.0
CO[C@H]1C[C@@](CCN(C)CCCc2nc3ccccc3[nH]2)(OC(=O)C(C)C)[C@@H](C(C)C)c2ccc(F)cc12,403.0
CC(C)C(=O)O[C@@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@H]2CC[C@@H]1c1ccccc21,424.0
CC(C)[C@H]1c2ccc(F)cc2[C@@H](O)C[C@@]1(CCN(C)CCCc1nc2ccccc2[nH]1)OC(=O)C(C)C,426.0
COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CC(C)(C)c2cc(F)ccc2[C@@H]1C(C)C,434.0
CC(C)C(=O)O[C@@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@H]2CCC[C@@H]1c1ccccc21,455.0
CC(C)[C@H]1c2ccc(F)cc2[C@H](O)C[C@@]1(CCN(C)CCCc1nc2ccccc2[nH]1)OC(=O)C(C)C,504.0
COc1ccc(CCNC2CCCC(C2)C(C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC,540.0
O=C1NCN(c2ccccc2)C11CCN(Cc2cccc(Oc3ccccc3)c2)CC1,552.0
N[C@H](COCc1cc(cc(c1)C(F)(F)F)C(F)(F)F)c1ccccc1,580.0
CO[C@@H]1C[C@@](CCN(C)CCCc2nc3ccccc3[nH]2)(OC(=O)C(C)C)[C@@H](C(C)C)c2ccc(F)cc12,588.0
Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,590.0
CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@@H]2CCC[C@H]1c1ccccc21,648.0
CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@@H]2CCC[C@H]1c1ccccc21,648.0
CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@@H]2CC[C@H]1c1ccccc21,699.0
CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@@H]2CC[C@H]1c1ccccc21,699.0
CCOC(=O)C1=C(C)N=C(NC1c1cccc(c1)[N+]([O-])=O)OC,710.0
COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@@H]2CC[C@H]1c1ccccc21,748.0
CCOc1ccc(CCNC(=O)N2CCN(CCCC(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1,860.0
CC(C)(C)c1ccc(cc1)C(O)CCCN1CCC(CC1)C(O)(c1ccccc1)c1ccccc1,1125.0
CC(C)(C)c1ccc(cc1)C(O)CCCN1CCC(CC1)C(O)(c1ccccc1)c1ccccc1,1320.0
COc1ccc(CCN2CCC(CC2)Nc2nc3ccccc3n2Cc2ccc(F)cc2)cc1,1100.0
Clc1cc2OCOc2cc1CN1CCC2(CC1)N(CNC2=O)c1ccccc1,1110.0
OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c1ccc(Cl)cc1,1300.0
OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c1ccc(Cl)cc1,1700.0
CSc1ccc2Sc3ccccc3N(CCC3CCCCN3C)c2c1,1320.0
CSc1ccc2Sc3ccccc3N(CCC3CCCCN3C)c2c1,2410.0
Cc1ccc(CN2CCC(CC2)n2c3ccccc3[nH]c2=O)c(Cl)c1,1340.0
Fc1ccc(cc1)C1CC(=NN1C(=O)NC1CCCCC1)c1ccc(Br)cc1,1340.0
CSCC[C@@H]1NC(=O)CNC(=O)[C@H](CCC(O)=O)NC(=O)[C@@H]2CSSC[C@H](NC(=O)[C@@H](N)Cc3ccc(O)cc3)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@H]3CSSC[C@H](NC(=O)[C@@H](NC1=O)C(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c4ccccc14)C(=O)N[C@@H](CSSC[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CO)NC(=O)[C@H](CC(O)=O)NC3=O)C(=O)N2)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(N)=O,1400.0
CCOC(=O)N1[C@H](\C(=C(/O)OC(C)C)C(C)=NC1=S)c1cccc(c1)[N+]([O-])=O,1500.0
O[C@@H](CNCCc1ccc(NS(=O)(=O)c2ccc(cc2)-c2nc(cs2)-c2ccc(cc2)C(F)(F)F)cc1)c1cccnc1,1700.0
Cc1ccc2[nH]c(=O)n(C3CCN(Cc4cc5OCOc5cc4Cl)CC3)c2c1,1710.0
Fc1ccc(cc1)C(CCCN1CCN(CC1)C(=O)OCCc1ccc(cc1)C#N)c1ccc(F)cc1,1720.0
CC(C)N1c2ccccc2CC[C@H](NC(=O)[C@@H](Cc2ccccc2OC(F)(F)F)NC(=O)OC(C)(C)C)C1=O,1725.0
Fc1ccc(cc1)C1CC(=NN1C(=O)NCCc1ccccc1)c1ccc(Br)cc1,1880.0
OCCC1(CC(=NN1C(=O)Nc1ccc(F)cc1)c1ccccc1)c1ccccc1,1940.0
FC(F)(F)c1ccccc1-c1noc(n1)C1CCN(CC1)C(=O)NC1CC1c1ccccc1,2000.0
Fc1ccc(cc1)C1CC(=NN1C(=O)Nc1ccccn1)c1ccc(Br)cc1,2180.0
CN(C)CCC1(CC(=NN1C(=O)Nc1ccc(F)cc1)c1ccccc1)c1ccc(C)cc1,2200.0
NC(=O)CN[C@H](COCc1cc(cc(c1)C(F)(F)F)C(F)(F)F)c1ccccc1,2300.0
Fc1ccc(cc1)C(CCCN1CCN(CC1)C(=O)CCCc1ccccc1)c1ccc(F)cc1,2350.0
CC(C)NC(=O)N1N=C(CC1c1ccc(F)cc1)c1ccc(Br)cc1,2360.0
OCC1(CC(=NN1C(=O)Nc1ccc(F)cc1)c1ccccc1)c1ccc(F)cc1,2650.0
CO[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@@H]2CC[C@H]1c1ccccc21,2670.0
Fc1ccc(CCOC(=O)N2CCN(CCCC(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1,2730.0
O=C(NC1CC1c1ccccc1)N1CCC(CC1)c1nc(no1)-c1nccc2ccccc12,3000.0
Fc1ccc(cc1)C1CC(=NN1C(=O)Nc1ccncc1)c1ccccc1,3090.0
CCCN(C1CCN(Cc2c(OC)cccc2OC)CC1)S(=O)(=O)c1cccc(c1)C(F)(F)F,3200.0
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc12,3400.0
CC(C)N1c2ccccc2CC[C@@H](NC(=O)[C@@H](Cc2ccccc2OC(F)(F)F)NC(=O)OC(C)(C)C)C1=O,3500.0
CN1CCN(CC1)C1=Nc2cc(Cl)ccc2Nc2ccccc12,3600.0
CN1CCN(CCC2(CC(=NN2C(=O)Nc2ccc(F)cc2)c2ccccc2)c2ccc(C)cc2)CC1,3600.0
Fc1ccc(cc1)[C@@H]1CCNC[C@H]1COc1ccc2OCOc2c1,3900.0
CC1CC(=NN1C(=O)Nc1ccc(F)cc1)c1ccccc1,3900.0
Fc1ccc(CCC(=O)N2CCN(CCCC(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1,4300.0
C[C@H](NC(=O)c1c(CN2CCC(CC2)N2CCCCC2)c(nc2ccccc12)-c1cccc(c1)C(F)(F)F)c1ccccc1,4500.0
CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@@H]2CC[C@H]1c1nccnc21,4600.0
COc1ccc(cc1)[C@]1(CCO)CC(=NN1C(=O)Nc1ccc(Br)cc1)c1cccnc1,4800.0
COc1ccc(CN2CCN(CC2)C(=O)CCn2cc(C)c3ccccc23)cc1OCc1ccccc1,4840.0
CC#C[C@H](c1oc(=O)[nH]c1O)c1ccc(Oc2ccc(cc2OC(F)F)C(F)(F)F)cc1,5100.0
Fc1ccc(NC(=O)N2N=C(C[C@H]2c2ccc(F)cc2)c2ccncc2)cc1,5400.0
Cc1nnc2sc(C(=O)NCc3ccc(cc3)S(=O)(=O)C(F)F)c(N)c2c1C,5700.0
COc1ccc(cc1)C1=NN(C(=O)Nc2ccc(Cl)cc2)[C@@](CCO)(C1)c1cccnc1,5700.0
Cc1ccc(cc1)C1(CCN2CCOCC2)CC(=NN1C(=O)Nc1ccc(F)cc1)c1ccccc1,5900.0
Fc1ccc(cc1)-n1cc(C2CCN(CCN3CCNC3=O)CC2)c2cc(Cl)ccc12,6300.0
Fc1ccc(cc1)-n1cc(C2CCN(CCN3CCNC3=O)CC2)c2cc(Cl)ccc12,8900.0
COCCOc1ccc(cc1)C1(CCO)CC(=NN1C(=O)Nc1ccc(F)cc1)c1ccccc1,6300.0
Fc1ccc(NC(=O)N2N=C(CC2c2ccc(F)cc2)c2ccncc2)cc1,6400.0
O=C(NC1CC1c1ccccc1)N1CCC(CC1)c1nc(no1)-c1ccc2ccccc2n1,6800.0
Fc1ccc(cc1)C(=O)CCCN1CCC(=CC1)n1c2ccccc2[nH]c1=O,7600.0
Fc1ccc(NC(=O)N2N=C(C[C@@H]2c2ccc(F)cc2)c2ccncc2)cc1,7800.0
CC(C)[C@]1(CC[C@](C)(C1)c1nc(-c2ccc(cc2)C(=O)Nc2cc(ccn2)C(F)(F)F)c2c(N)nccn12)C(O)=O,8000.0
Nc1nc(CC(=O)Nc2ccc(C[C@@H]3CC[C@@H](N3)[C@H](O)c3ccccc3)cc2)cs1,8200.0
CN(C)CCCN1c2ccccc2CCc2ccccc12,8300.0
Cc1ccc(cc1)C1(CCO)CC(=NN1C(=O)Nc1ccc(F)cc1)c1ccncc1,8600.0
Fc1ccc(cc1)C1CC(=NN1C(=O)Nc1ccccc1F)c1ccc(Br)cc1,10000.0
Fc1ccc(cc1)C1CC(=NN1C(=O)Nc1cccc(F)c1)c1ccc(Br)cc1,10000.0
CN(C)CCOc1ccc(cc1)C1(CCO)CC(=NN1C(=O)Nc1ccc(F)cc1)c1ccccc1,10000.0
COc1ccc(cc1)C1(CCO)CC(=NN1C(=O)Nc1ccc(Br)cc1)c1cccnc1,10000.0
Cc1cccnc1CN1CCC2(CC1)N(C(=O)N(C2=O)c1ccc(cc1)-c1ccccc1)c1ccnc(=O)[nH]1,10000.0
CN(CC(N)=O)[C@H](COCc1cc(cc(c1)C(F)(F)F)C(F)(F)F)c1ccccc1,10000.0
Fc1ccccc1NS(=O)(=O)c1cc(C(=O)N2CCN3CCC[C@@H]3C2)c(Cl)cc1F,10000.0
Cc1cccnc1CN1CCC2(CC1)N(C(=O)N(C2=O)c1ccc(cc1)-c1ccccc1)c1cc(=O)[nH]cn1,10000.0
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,150.0
Cc1sc(Nc2ccc(Cl)cc2F)nc1C(=O)N1CCC[C@H](C)[C@@H]1C,10000.0
Cc1ccc(Nc2nc(C(=O)N3CCCC(C)C3C)cs2)cc1,10000.0
COc1ccsc1CNCC[C@@]1(c2ccccn2)CCOC2(CCCC2)C1,36000.0
COC(=O)C(CCC(=O)N1CCN(c2ccccc2OC)CC1)(c1ccc(Br)cc1)C(C)C,5900.0
COC(=O)C(CCC(=O)N(C)CCCc1nc2ccccc2[nH]1)(c1ccc(Br)cc1)C(C)C,5420.0
C[C@H]1CN(C[C@H](Cc2ccccc2)C(=O)NCC(=O)O)CC[C@@]1(C)c1cccc(O)c1,5011.87
Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1.O,398107.17
O=C(O)c1ccc(-n2nc(-c3ccccc3O)nc2-c2ccccc2O)cc1,1000000.0
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](CNS(N)(=O)=O)C3)[C@H](C)[C@H]12,1995.26
CNCC[C@H](Oc1cccc2ccccc12)c1cccs1,100000.0
COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,398107.17
O=C1c2cccc3c2[C@H](CCC3)CN1[C@@H]1CN2CCC1CC2,398107.17
